Plot,Sturnus_vulgaris,Ciconia_ciconia,Cuculus_canorus,Turdus_merula,Luscinia_megarhynchos,Passer_domesticus,Erithacus_rubecula,Buteo_buteo,Corvus_corax,Garrulus_glandarius,Milvus_milvus,Dendrocopos_major,Alauda_arvensis,Cyanistes_caeruleus,Falco_tinnunculus,Strix_aluco,Apus_apus,Troglodytes_troglodytes,Hirundo_rustica,Parus_major,Pica_pica,Fringilla_coelebs,Grus_grus,Delichon_urbicum,Picus_viridis
AEG34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AEG35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AEG40,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AEG41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AEG43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG44,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
AEG45,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AEG46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG47,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
AEG48,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
AEG49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEW01,0,0,0,11,0,0,14,2,0,0,0,1,0,0,0,0,0,12,0,7,0,35,0,0,0
AEW02,0,0,0,13,0,0,12,0,0,0,0,1,0,2,0,0,0,12,0,4,0,36,0,0,0
AEW03,0,0,0,10,0,0,10,0,0,0,0,1,0,1,0,0,0,13,0,5,0,35,0,0,0
AEW04,0,0,0,3,0,0,18,0,0,1,0,0,0,1,0,0,0,1,0,2,0,7,0,0,0
AEW05,0,0,0,15,0,0,17,0,0,1,0,5,0,4,0,0,0,9,0,19,0,19,0,0,0
AEW06,0,0,0,11,0,0,14,1,0,1,0,4,0,7,0,0,0,12,0,15,0,31,0,0,0
AEW07,0,0,0,16,0,0,10,0,0,2,0,3,0,6,0,0,0,5,0,19,0,22,0,0,0
AEW08,0,0,0,10,0,0,13,0,0,4,0,0,0,6,0,0,0,6,0,13,0,28,0,0,0
AEW09,0,0,0,15,0,0,12,1,0,3,0,3,0,5,0,0,0,7,0,12,0,23,0,0,0
AEW10,0,0,0,14,0,0,9,0,0,1,0,0,0,2,0,0,0,5,0,8,0,28,0,0,0
AEW11,0,0,0,11,0,0,9,0,0,0,0,0,0,3,0,0,0,19,0,3,0,40,0,0,0
AEW12,0,0,0,8,0,0,9,0,0,1,0,0,0,2,0,0,0,23,0,5,0,32,0,0,0
AEW13,0,0,0,15,0,0,7,1,0,0,0,0,0,1,0,0,0,12,0,3,0,31,0,0,0
AEW14,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,6,0,42,0,0,0
AEW15,0,0,0,11,0,0,19,0,0,0,0,0,0,3,0,0,0,1,0,6,0,5,0,0,0
AEW16,0,0,0,6,0,0,18,0,0,1,0,0,0,3,0,0,0,1,0,10,0,6,0,0,0
AEW17,0,0,0,5,0,0,14,1,0,0,0,0,0,3,0,0,0,4,0,13,0,5,0,0,0
AEW18,0,0,0,13,0,0,16,0,0,0,0,5,0,12,0,0,0,7,0,16,0,31,0,0,0
AEW19,0,0,0,16,0,0,22,2,0,3,0,4,0,9,0,0,0,10,0,18,0,20,0,0,0
AEW20,0,0,0,19,0,0,20,0,0,2,0,1,0,7,0,0,0,9,0,17,0,32,0,0,0
AEW21,0,0,0,16,0,0,17,0,0,0,0,5,0,12,0,0,0,3,0,18,0,23,0,0,0
AEW22,0,0,0,15,0,0,13,1,0,1,0,1,0,5,0,0,0,8,0,12,0,29,0,0,0
AEW23,4,0,0,15,0,0,12,3,0,5,0,0,0,7,0,0,0,3,0,17,0,24,0,0,0
AEW24,0,0,0,12,0,0,6,0,0,0,0,1,0,5,0,0,0,0,0,7,0,11,0,0,0
AEW25,0,0,0,5,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,10,0,4,0,0,0
AEW26,0,0,0,8,0,0,10,0,0,1,0,0,0,10,0,0,0,8,0,10,0,19,0,0,0
AEW27,0,0,0,12,0,0,12,0,0,1,0,0,0,5,0,0,0,0,0,15,0,9,0,0,0
AEW28,0,0,0,16,0,0,16,0,0,0,0,1,0,3,0,0,0,10,0,11,0,30,0,0,0
AEW29,0,0,0,13,0,0,14,0,0,0,0,3,0,2,0,0,0,16,0,13,0,37,0,0,0
AEW30,0,0,0,6,0,0,9,1,0,1,0,3,0,2,0,0,0,5,0,10,0,20,0,0,0
AEW31,0,0,0,15,0,0,4,0,0,1,0,0,0,2,0,0,0,7,0,8,0,38,0,0,0
AEW32,0,0,0,12,0,0,6,0,0,1,0,0,0,3,0,0,0,17,0,8,0,35,0,0,0
AEW33,0,0,0,10,0,0,12,0,0,0,0,0,0,1,0,0,0,9,0,5,0,29,0,0,0
AEW34,0,0,0,11,0,0,9,0,0,0,0,1,0,1,0,0,0,6,0,4,0,34,0,0,0
AEW35,0,0,0,9,0,0,21,0,0,0,0,2,0,5,0,0,0,3,0,7,0,10,0,0,0
AEW36,0,0,0,12,0,0,14,0,0,0,0,2,0,6,0,0,0,2,0,15,0,11,0,0,0
AEW37,1,0,0,14,0,0,12,0,0,1,0,0,0,6,0,0,0,5,0,13,0,17,0,0,0
AEW38,0,0,0,4,0,0,12,0,0,1,0,1,0,3,0,0,0,2,0,5,0,11,0,0,0
AEW39,0,0,0,7,0,0,12,0,0,2,0,0,0,5,0,0,0,6,0,9,0,15,0,0,0
AEW40,0,0,0,17,0,0,17,0,0,0,0,0,0,7,0,0,0,2,0,10,0,31,0,0,0
AEW41,0,0,0,12,0,0,20,0,0,2,0,2,0,4,0,0,0,12,0,14,0,33,0,0,0
AEW42,0,0,0,6,0,0,14,2,0,0,0,2,0,5,0,0,0,5,0,10,0,33,0,0,0
AEW43,0,0,0,13,0,0,10,0,0,1,0,4,0,12,0,0,0,9,0,16,0,30,0,0,0
AEW44,0,0,0,15,0,0,11,0,0,1,0,1,0,5,0,0,0,2,0,22,0,15,0,0,0
AEW45,0,0,0,7,0,0,11,0,0,1,0,1,0,7,0,0,0,2,0,9,0,4,0,0,0
AEW46,0,0,0,15,0,0,13,0,0,0,0,0,0,3,0,0,0,8,0,13,0,28,0,0,0
AEW47,0,0,0,11,0,0,10,0,0,0,0,1,0,4,0,0,0,17,0,13,0,29,0,0,0
AEW48,0,0,0,16,0,0,12,0,0,4,0,4,0,4,0,0,0,13,0,15,0,41,0,0,0
AEW49,0,0,0,20,0,0,13,1,0,0,0,4,0,2,0,0,0,6,0,16,0,29,0,0,0
AEW50,0,0,0,20,0,0,17,0,0,1,0,4,0,4,0,0,0,8,0,22,0,14,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
