Plot,Region,LU,Core_depth,pH,elevation,TWI,prop_clay,Mean_Temp,Mean_precip,LUI_2007to12
C169,A,Crop,27.8163614424047,5.60925741187767,743.679640059688,6.7684617658321,0.508142096042933,7.08980815721101,941.584915516776,0
C17,A,Crop,32.9848438916081,5.76846967664354,739.401096471497,6.70646012718797,0.459029007680327,7.06659546136735,933.937563349177,0
C170,A,Crop,32.2939424558786,5.52443301951771,743.549263054962,6.90658416123527,0.486390678700123,7.26782808801028,937.272020168812,0
C171,A,Crop,39.2390850586556,5.58887101697981,755.351263214452,6.9138372612952,0.567276607238722,7.19562637632336,940.315380935344,0
C172,A,Crop,36.5368623181622,5.42956938910258,755.919549647646,6.5479586927952,0.508372590289175,7.12576715954149,934.449251759935,0
C173,A,Crop,30.6138261899337,5.83660975100005,762.034393202902,6.97840735132575,0.514670678311201,7.20525545721138,936.256898585658,0
C174,A,Crop,30.4952020863484,5.9286843274859,756.182672325869,6.86295960303479,0.550723290443128,7.19695170368887,944.505119445583,0
C175,A,Crop,26.1705856053295,5.95999177336549,744.336046076243,6.86215091556362,0.544087169497751,7.33111374054606,947.63351323906,0
C176,A,Crop,34.1979171995593,5.54024501680005,751.698531068607,6.72247371807225,0.529903291934,7.23890259690122,948.351675999264,0
C177,A,Crop,32.4996593497588,5.73488121979164,738.582696895533,6.81530403980926,0.525986172222367,7.39642390383871,950.739574927626,0
C178,A,Crop,37.3994547188587,5.91906726943512,746.27756942594,6.40224399469969,0.520739494107331,7.23698822891284,941.692799352477,0
C179,A,Crop,35.1224629128528,5.57054346832597,739.068668060345,6.91711886343341,0.531755749503707,7.33628314816251,950.6147432516,0
C18,A,Crop,38.1457536384996,5.72967654187601,757.805819699096,7.0020956660304,0.482538641458893,7.14737312752681,922.633403367328,0
C180,A,Crop,37.3170677674698,5.72143651880474,746.820516420942,6.76761112429999,0.540365928391252,7.07388810949815,961.506517261516,0
C181,A,Crop,32.3549556040571,6.01164188286726,740.767349955228,6.82744531132477,0.502223195529179,7.03159284959007,939.098926587312,0
C182,A,Crop,31.1625454434024,5.73903243252903,739.197506888012,6.88436440043139,0.552010249517408,7.31254361716821,953.125466467347,0
C183,A,Crop,29.8518836384472,5.84401521852233,740.343231965167,6.65280957248885,0.532256636580022,7.33950188066158,946.42972541778,0
C184,A,Crop,33.5091636305027,5.86656133542127,739.575314656423,6.56600196008153,0.536022997441121,7.20655334187348,944.673347877686,0
C185,A,Crop,29.5951163798171,5.88130692921391,738.153816360905,6.48870151051681,0.526876323207016,7.12091672721543,947.530567430806,0
C186,A,Crop,30.8563995147788,5.7263449822549,746.353595318231,6.63788491259001,0.553355114326109,7.22163491370969,948.170928280821,0
C187,A,Crop,37.4613011993183,5.9025878584674,740.212409012874,6.83083231413674,0.509891252514492,7.23801866396939,944.380806153825,0
C188,A,Crop,34.2953716425426,5.72986787742891,749.625763310046,6.82200366809336,0.527234381456746,7.13720504585053,946.250759313155,0
C189,A,Crop,29.5080040714962,5.74245724048454,732.973699908902,6.97483654880133,0.491767872760339,7.08845648413646,925.937952841396,0
C19,A,Crop,33.4582588708131,5.59016898257045,736.902602764816,6.7924645197638,0.517435881396324,7.11854106161777,947.293827383689,0
C190,A,Crop,30.3188404894719,5.74155044401651,741.965870315958,6.82176091731433,0.513913079605796,7.23660378063663,927.780470361372,0
C191,A,Crop,40.2657811954711,5.97435939183396,745.011779711643,6.72598595722285,0.505002502437295,7.11536753819478,941.798737070674,0
C192,A,Crop,36.7597388824444,5.81467110817554,742.706348256357,6.59939077218537,0.551401504211428,7.11413168567069,948.987673803978,0
C193,A,Crop,35.2051721802365,5.77361743988936,747.258589240896,6.85087401757502,0.555341300634499,7.09086074466099,947.977281021395,0
C194,A,Crop,31.6387992849013,5.62200930781328,749.634474289683,6.89309587658096,0.493492780177161,7.12893138365523,936.152278988861,0
C195,A,Crop,32.800307306702,5.87461736861347,751.908884345924,7.17760233829654,0.508500817846162,7.28450852867398,944.615134918264,0
C196,A,Crop,24.5108281917881,5.57480154710031,742.971424206686,7.16073123493456,0.540537653607831,7.16709623163833,940.440257412876,0
C197,A,Crop,30.7771105409634,5.95430116183443,750.282178172115,6.60128180481692,0.512943174488834,7.15333402165238,941.217605572644,0
C198,A,Crop,38.6326122996907,5.70980565525538,745.499006520578,6.84899931775326,0.511203659423667,7.1695561414246,940.998904602704,0
C199,A,Crop,30.4074730064871,5.81984792344254,756.830826381616,6.58098837857312,0.531231063288026,7.22860641606927,938.466295306443,0
C2,A,Crop,32.3094196300562,5.69863503866371,749.177088792353,7.0928091864165,0.542265084536505,7.09628542582357,948.722484484776,0
C20,A,Crop,31.9071271044533,5.50221965841966,747.344220651718,6.94447198637511,0.504817059330191,7.23340915356895,941.394882796068,0
C200,A,Crop,38.3271004593234,5.8663703217341,749.015108375258,6.94663131598379,0.556295474327888,7.20207075173104,945.84813446453,0
C201,H,Crop,48.0515373926804,5.99019243426114,390.490270239754,7.47395710299157,0.360049922280854,7.61010769474589,622.811175659968,0
C202,H,Crop,57.5885906801685,5.38257113565892,388.184012022018,7.62115437549927,0.337629905939316,7.63105232731676,617.4317637532,0
