scenario,region,mean_MF,mean_MF_diff,sd_MF,mean_harmony,sd_harmony,harmony_baseline,mean_harmony_diff
4745,S,0.586882991738968,0.296233396119913,0.0342148356857975,28.2387010549365,4.76129672013022,28.1519439535314,0.0867571014051194
4746,A,0.567381256046797,0.379567101051999,0.0264280428169139,31.6777224623638,4.04734778076799,36.0516932746061,-4.37397081224229
4746,H,0.492405201740913,0.297452452428981,0.0495818549904423,26.6572289235198,4.48020041764645,34.3893945296579,-7.7321656061381
4746,S,0.589424620233868,0.298775024614813,0.0377863880432064,28.0370371002563,4.81418870875654,28.1519439535314,-0.114906853275123
4747,A,0.560573666904173,0.372759511909376,0.0267919556695463,33.3401071100626,4.23795744431685,36.0516932746061,-2.71158616454347
4747,H,0.491433255668874,0.296480506356942,0.0489703042847618,27.0595399351013,4.74615320295386,34.3893945296579,-7.32985459455664
4747,S,0.589811177284721,0.299161581665666,0.0375163509330622,27.975898938756,4.40626069468927,28.1519439535314,-0.176045014775397
4748,A,0.573976519086556,0.386162364091757,0.0261772084571451,27.9337293027844,3.51329359443626,36.0516932746061,-8.11796397182173
4748,H,0.492039351616169,0.297086602304238,0.0462805267746213,23.9995754501436,3.66811406322666,34.3893945296579,-10.3898190795143
4748,S,0.593782266501062,0.303132670882007,0.0338737580104358,26.5524862396753,3.98465994625218,28.1519439535314,-1.5994577138561
4749,A,0.571296382348635,0.383482227353838,0.0266674620635123,29.1903292700628,3.68421090394072,36.0516932746061,-6.86136400454332
4749,H,0.493379083008153,0.298426333696221,0.0466446764340199,24.5009918285995,3.70117083570169,34.3893945296579,-9.88840270105834
4749,S,0.596959563491656,0.306309967872601,0.0352059312294798,26.3581173239786,3.89961978319951,28.1519439535314,-1.79382662955279
4750,A,0.572794406510769,0.384980251515971,0.0252030643005761,25.5914131687487,2.81498635378495,36.0516932746061,-10.4602801058574
4750,H,0.494265112295032,0.299312362983101,0.0446454552819705,21.9671749795486,2.82624908144591,34.3893945296579,-12.4222195501093
4750,S,0.599709175266233,0.309059579647178,0.0314852768947161,24.6968283364011,3.12537812215428,28.1519439535314,-3.45511561713025
4751,A,0.551803155067727,0.363989000072929,0.0213603649656232,25.6596145412549,2.20593040822913,36.0516932746061,-10.3920787333512
4751,H,0.47182098251899,0.276868233207058,0.0402452028487452,22.4820727593445,2.73000125056447,34.3893945296579,-11.9073217703134
4751,S,0.589769731766876,0.299120136147821,0.0243209047468621,24.7388313289313,2.66882368404615,28.1519439535314,-3.41311262460011
4752,A,0.528786687883397,0.340972532888599,0.0316934438081001,47.7072557492942,9.97936574627,36.0516932746061,11.6555624746881
4752,H,0.470582330649493,0.275629581337561,0.0378537281159677,33.9180148052238,7.17912677847731,34.3893945296579,-0.471379724434129
4752,S,0.545347823861565,0.254698228242511,0.0305586647215896,40.0772369038343,8.72296051148748,28.1519439535314,11.9252929503029
4753,A,0.508089141840148,0.320274986845349,0.0188940363922835,59.2048305511866,9.55522320253229,36.0516932746061,23.1531372765805
4753,H,0.458368230140342,0.263415480828411,0.0435649303884332,33.8916893664887,6.78799441810087,34.3893945296579,-0.497705163169229
4753,S,0.55150395628411,0.260854360665056,0.037249294329754,38.5233493424069,8.44765104258945,28.1519439535314,10.3714053888755
4754,A,0.545115301374665,0.357301146379868,0.0289506845773765,44.9980552392331,9.10972449839794,36.0516932746061,8.94636196462697
4754,H,0.480714323294472,0.285761573982541,0.0443031118664128,31.6393555027457,6.58413818080663,34.3893945296579,-2.75003902691222
4754,S,0.555422963789615,0.26477336817056,0.0332960315203118,39.3179993038963,9.58764464090011,28.1519439535314,11.1660553503649
4755,A,0.541610603899073,0.353796448904276,0.026644697793398,47.8809165646881,9.90730552024188,36.0516932746061,11.829223290082
4755,H,0.477032052361151,0.28207930304922,0.0481162406792273,31.9583653265603,6.3954395539307,34.3893945296579,-2.43102920309758
4755,S,0.557491240880828,0.266841645261774,0.0389756906626922,39.0555994793857,9.57677678201143,28.1519439535314,10.9036555258543
4756,A,0.535109731082416,0.347295576087618,0.0256052053321451,51.7774785638876,10.3988827179591,36.0516932746061,15.7257852892815
4756,H,0.474247067034685,0.279294317722753,0.0472395022295239,31.8863131581323,6.14113669373016,34.3893945296579,-2.50308137152555
4756,S,0.556115329384223,0.265465733765168,0.0399820656328153,38.6439960965741,9.3728372258226,28.1519439535314,10.4920521430427
4757,A,0.559728501364544,0.371914346369746,0.0268777771190881,38.8826661811316,7.66548885435637,36.0516932746061,2.83097290652547
4757,H,0.485645477696258,0.290692728384326,0.0454058183802199,28.1092589093073,4.66044846443526,34.3893945296579,-6.28013562035058
4757,S,0.566356417135879,0.275706821516824,0.0345010578749328,35.9568793543325,8.05317265214803,28.1519439535314,7.8049354008011
4758,A,0.554957667548987,0.367143512554188,0.02573061562655,41.840866630263,8.01598664542346,36.0516932746061,5.78917335565685
4758,H,0.485158665820248,0.290205916508317,0.0462091351328815,28.5432983776845,5.38645740940153,34.3893945296579,-5.84609615197336
4758,S,0.565632512009736,0.274982916390681,0.0371908403451586,36.5453594655299,8.28867473983469,28.1519439535314,8.39341551199847
4759,A,0.562807040900842,0.374992885906044,0.0255229425213997,34.1775474066887,5.53367332489807,36.0516932746061,-1.87414586791743
4759,H,0.488566414887307,0.293613665575375,0.0432349590101938,25.3204057415647,3.8403604059841,34.3893945296579,-9.06898878809322
4759,S,0.570621221291143,0.279971625672087,0.0339854439854471,32.9954887631483,6.00255327302139,28.1519439535314,4.84354480961691
4760,A,0.556335248051958,0.368521093057161,0.0222389604975744,29.8765579997979,3.42881000186859,36.0516932746061,-6.17513527480821
