Species;Cultural_overall;Justification for cultural importance importance
Phragmites australis;y;multiple uses and iconography
Phyteuma orbiculare;;
Phyteuma spicatum;;
Picea abies;y;"main species for christmas trees (before abies normanniana outcompeted it); Song ""O Tannenbaum""; not very species specific and I therefor also listed Picea"
Picris hieracioides;;
Pimpinella major;;
Pimpinella saxifraga aggr.;;
Pinus cf mugo;;
Pinus sylvestris;;"traditional resin use; christmas tree; iconography"
Plantago lanceolata;;
Plantago major;;
Plantago media;;
Platanthera bifolia;;
Platanthera bifolia agg;;
Platanthera chlorantha;;
Poa annua;;
Poa chaixii;;
Poa nemoralis;;
Poa pratensis agg;;
Poa pratensis aggr.;;
Poa sp;;
Poa trivialis;;
Polygala amarella;;
Polygala comosa aggr.;;
Polygonatum multiflorum;;
Polygonatum odoratum;;
Polygonatum verticillatum;;
Polygonum aviculare;;
Polygonum hydropiper;;
Polygonum minus;;
Polypodium vulgare;;
Populus tremula;y;"""aspen leaves"" in poems and fairy tales"
Potentilla anglica;;
Potentilla anserina;;
Potentilla argentea;;
Potentilla erecta;;
Potentilla heptaphylla;;
Potentilla neumanniana;;
Potentilla recta;;
Potentilla reptans;;
Potentilla sterilis;;
Potentilla verna aggr.;;
Prenanthes purpurea;;
Primula elatior veris agg;y;in poems, etc
Primula veris;y;in poems, etc
Prunella sp;;
Prunella vulgaris;;
Prunus avium;y;"important fruit; symbol; iconography"
Prunus padus;;
Prunus serotina;;
Prunus sp;;
Prunus spinosa;;
Pseudolysimachion spicatum;y;"formerly ""Veronica""; Veronica is commonly appearing in poams and songs"
Pseudotsuga menziesii;;
Pteridium aquilinum;;
Pulmonaria obscura;;
Pulsatilla vulgaris;y;In general people were afraid of this plant in former times....
Pyrus communis;;
Quercus petraea;y;"strong tree, why it is often named ""tree of the germans"""
Quercus robur;y;"strong tree, why it is often named ""tree of the germans"""
Quercus rubra;;
Quercus sp;y;"strong tree, why it is often named ""tree of the germans"""
Ranunculus acris;;
Ranunculus auricomus;;
Ranunculus auricomus agg;;
Ranunculus bulbosus;;
Ranunculus ficaria;;
Ranunculus lanuginosus;;
Ranunculus repens;;
Ranunculus sceleratus;;
Ranunculus sp;;
Raphanus raphanistrum;;
Rhamnus cathartica;;
Rhinanthus aggr.;;
Ribes alpinum;;
Ribes uva-crispa;;
Robinia pseudoacacia;;
Rosa canina agg;y;"symbol; iconography, etc"
Rosa canina aggr.;y;"symbol; iconography, etc"
Rosa sp;y;"symbol; iconography, etc"
Rubus caesius;;
Rubus fruticosus corylifolius agg;;
Rubus idaeus;;
Rubus sp;;
Rumex acetosa;;
Rumex acetosella;;
Rumex crispus;;
Rumex obtusifolius;;
Rumex sanguineus;;
Rumex thyrsiflorus;;
Salix caprea;y;"myths; twigs are harvested before eastern and decorated; should protect the house"
Salix cinerea;y;"myths; twigs are harvested before eastern and decorated; should protect the house"
Salix sp;y;"myths; twigs are harvested before eastern and decorated; should protect the house"
Salvia pratensis;;
Sambucus nigra;y;"myths; planted in the cornern of gardens to protect from bad guys such as witches etc"
Sambucus racemosa;;
Sanguisorba minor;;
Sanicula europaea;;
Saxifraga granulata;;
Saxifraga tridactylites;;
Scabiosa columbaria;;
Scleranthus annuus;;
Scrophularia nodosa;;
Secale cereale;y;iconography
Secale sp;y;iconography
Sedum telephium;;
Selinum carvifolia;;
Senecio erucifolius;;
Senecio jacobaea;;
Senecio ovatus;;
Senecio sp;;
Senecio sylvaticus;;
Senecio vulgaris;;
Seseli annuum;;
Sesleria albicans;;
Setaria viridis;;
Sherardia arvensis;;
Silaum silaus;;
Silene dioica;;
Silene flos cuculi;;
Silene latifolia;;
Silene vulgaris;;
Sinapis alba;;
Sinapis arvensis;;
Sisymbrium officinale;;
Solanum dulcamara;;
Solanum nigrum;;
