Scenario_name;Scenario_type;Scenario_description;Forest_classification;Region: mixed;Region:coniferous;Region: deciduous;EA;UA;Region:low int;Region:med int;Region:high int;Region;Forest;Grassland;Crop;Forest_Mixed;Forest_Coniferous;Forest_Deciduous;Forest_even_aged;Forest_uneven_aged;Grassland_low;Grassland_medium;Grassland_high;check_sum_forest_type;check_sum_forest_age;;;
High_grasslands;Constrained;50% more high int grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;6.72;39.36;0;0;11.12;8.88;12;101;48;;;
High_grasslands;Constrained;50% more high int grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;2.43;23.49;0;0;2.1125;3.2825;7.605;100;27;;;
High_grasslands;Constrained;50% more high int grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;26;19;0;0;4.9875;3.0375;6.975;100;50;;;
High_grasslands;Constrained;50% more high int grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;2.666666667;11.71666667;27.28333333;0;0;#REF!;5.066666667;#REF!;#REF!;41.66666667;;;
Low_grasslands;Constrained;50% more low int grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;6.72;39.36;0;0;19.68;7.6;4.72;101;48;;;
Low_grasslands;Constrained;50% more low int grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;2.43;23.49;0;0;5.07;3.705;4.225;100;27;;;
Low_grasslands;Constrained;50% more low int grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;26;19;0;0;9.225;2.6625;3.1125;100;50;;;
Low_grasslands;Constrained;50% more low int grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;2.666666667;11.71666667;27.28333333;0;0;#REF!;#REF!;#REF!;#REF!;41.66666667;;;
High_grasslands;Constrained;All grasslands are high int;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;6.72;39.36;0;0;0;0;32;101;48;;;
High_grasslands;Constrained;All grasslands are high int;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;2.43;23.49;0;0;0;0;13;100;27;;;
High_grasslands;Constrained;All grasslands are high int;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;26;19;0;0;0;0;15;100;50;;;
High_grasslands;Constrained;All grasslands are high int;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;2.666666667;11.71666667;27.28333333;0;0;0;0;20;100.3333333;41.66666667;;;
Low_grasslands;Constrained;All grasslands are low int;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;6.72;39.36;0;0;32;0;0;101;48;;;
Low_grasslands;Constrained;All grasslands are low int;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;2.43;23.49;0;0;13;0;0;100;27;;;
Low_grasslands;Constrained;All grasslands are low int;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;26;19;0;0;15;0;0;100;50;;;
Low_grasslands;Constrained;All grasslands are low int;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;2.666666667;11.71666667;27.28333333;0;0;20;0;0;100.3333333;41.66666667;;;
Only_forest;Theoretical;100% forest;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;100;0;0;4;14;82;0;0;0;0;0;100;100;;;
Only_forest;Theoretical;100% forest;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;100;0;0;4;9;87;0;0;0;0;0;100;100;;;
Only_forest;Theoretical;100% forest;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;100;0;0;10;52;38;0;0;0;0;0;100;100;;;
Only_forest;Theoretical;100% forest;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;100;0;0;6;25;69;0;0;0;0;0;100;100;;;
Only_grasslands;Theoretical;100% grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;0;100;0;0;0;0;0;0;41;34;25;100;0;;;
Only_grasslands;Theoretical;100% grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;0;100;0;0;0;0;0;0;26;35;39;100;0;;;
Only_grasslands;Theoretical;100% grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;0;100;0;0;0;0;0;0;41;28;31;100;0;;;
Only_grasslands;Theoretical;100% grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;0;100;0;0;0;0;0;0;36;32.33333333;31.66666667;100;0;;;
Only_crops;Theoretical;100% crops ;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;0;0;100;0;0;0;0;0;0;0;0;100;0;;;
Only_crops;Theoretical;100% crops ;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;0;0;100;0;0;0;0;0;0;0;0;100;0;;;
Only_crops;Theoretical;100% crops ;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;0;0;100;0;0;0;0;0;0;0;0;100;0;;;
Only_crops;Theoretical;100% crops ;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;0;0;100;0;0;0;0;0;0;0;0;100;0;;;
